scenario,n_runs,prefill_latency_ms_mean,prefill_latency_ms_std,total_decode_latency_ms_mean,total_decode_latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,effective_TFLOPS_prefill_mean,effective_TFLOPS_decode_mean,peak_rss_mb_mean,tokens_per_sec_ci95
split:CPU_AND_GPU->CPU_AND_NE,20,20.07998965000013,2.5438236957397806,215.85571434999974,1.5596204390079504,148.25449126554182,1.065816233544065,0.5485283775262484,0.025528199406846412,749.484375,0.46711455974655663
whole:CPU_ONLY,20,10.396818750000069,0.10603661507289495,217.4369561500004,1.103058672554217,147.17269958727098,0.7480076663523367,1.043505797810483,0.02534192381112027,828.50625,0.32782881397234137
whole:CPU_AND_NE,20,5.4183020500003565,0.15294462868742767,218.3679107500021,2.7539015444402373,146.5637276920507,1.840548197032031,2.003623634299266,0.025237063878435308,965.703125,0.8066558133479494
whole:CPU_AND_GPU,20,28.289070900000365,3.222073588066736,233.47536074999962,4.209049900922196,137.10104870271726,2.4305874526586386,0.3883117141686823,0.023607668680349827,958.2921875,1.0652519188029435
whole:ALL,20,5.235320850001202,0.32150820356930526,283.2123810999942,4.2651068924923745,113.01388014052495,1.7105194414050386,2.0793176915420672,0.019460057117603957,1048.63359375,0.7496681985720596
split:CPU_AND_NE->CPU_AND_GPU,20,5.225176999999759,0.17816863505389202,323.49110190000044,31.858695837488096,99.87610443722643,10.257472101105694,2.078469475327854,0.01719784060697216,744.5640625,4.495535359494465
