model_id,model_alias,context_len,mode,prefill_compute_units,decode_compute_units,scenario_label,n_runs,ttft_ms_mean,ttft_ms_std,tokens_per_sec_mean,tokens_per_sec_std,tpot_ms_mean_mean,tpot_ms_mean_std,effective_TFLOPS_prefill_mean,effective_TFLOPS_prefill_std,effective_TFLOPS_decode_mean,effective_TFLOPS_decode_std,peak_rss_mb_mean,peak_rss_mb_std,ttft_ms_ci95,tokens_per_sec_ci95,error_count
openai-community/gpt2,gpt2,64,whole,CPU_ONLY,CPU_ONLY,CPU,91,17.230047266666734,0.48138437799709394,146.71331812815396,1.872199850793598,6.817165657795337,0.09130879472153718,1.0306123984567006,0.08099324181535929,0.025262822116513647,0.00032237735742468847,839.2857142857143,17.049718943332365,0.1722611873376066,0.38466934812039316,0
openai-community/gpt2,gpt2,64,whole,CPU_AND_GPU,CPU_AND_GPU,GPU,91,35.03549573333342,2.8608732351058785,130.69386737720072,13.97073024606825,9.104779891998598,14.530244525650813,0.3793891901671062,0.05864912461721989,0.022504404953784894,0.0024056444060240423,1022.7721497252747,46.55844565833213,1.023750339286443,2.8704797162775826,0
openai-community/gpt2,gpt2,64,whole,CPU_AND_NE,CPU_AND_NE,NE,91,12.040763899999767,0.25021373984122525,146.34014356744143,1.9893788008942623,6.834655936126385,0.0938114591856195,2.0227306970262746,0.0929786662287557,0.025198564538088122,0.0003425546052026117,904.8851304945055,197.20420642291052,0.08953783687906196,0.4087453837688038,0
openai-community/gpt2,gpt2,64,whole,ALL,ALL,ALL,91,14.068565066667976,0.7754975715817096,111.80565387493634,5.891845642967084,8.967558173763688,0.45282044723060944,2.065145970414471,0.13295490349251085,0.019252010529785646,0.0010145271766413043,1044.193853021978,106.03826006464405,0.2775082419872426,1.2105611597743846,0
openai-community/gpt2,gpt2,64,split,CPU_AND_NE,CPU_AND_GPU,NE→GPU,91,14.01780689999989,0.4310104907658913,109.19891854543724,9.239997099239456,9.227908673248615,0.8493417837956617,2.0646005789503628,0.1381160338713316,0.018803152227252783,0.0015910512150729837,741.0870535714286,34.95559715519749,0.15423512329838257,1.8984851746954976,0
openai-community/gpt2,gpt2,64,split,CPU_AND_GPU,CPU_AND_NE,GPU→NE,91,28.1528193666665,3.6342925759198312,149.0172229185148,4.679109254133252,6.717267017685451,0.21381264947931697,0.47627864288761207,0.09975617104690751,0.02565953550037583,0.0008057039828357467,744.0566620879121,18.50930589079988,1.300514895944501,0.9613876989727278,0
openai-community/gpt2,gpt2,128,whole,CPU_ONLY,CPU_ONLY,CPU,10,31.259808300000365,2.0541513981631847,96.61938125547559,2.925238575798308,10.35805298750003,0.2996748819316877,1.0640873998636797,0.09607817641237475,0.016865013482299768,0.0005106034356537125,922.0828125,12.358812122840677,1.2731762270949554,1.813081653386307,0
openai-community/gpt2,gpt2,128,whole,CPU_AND_GPU,CPU_AND_GPU,GPU,10,47.1670417000003,8.645016071929616,79.9177907704773,5.304002671141514,12.56482710937498,0.8723952084999202,0.6585914016010774,0.14184120302026995,0.013949733493489214,0.0009258191824105294,1044.20625,5.708588992145903,5.3582364744276845,3.2874549146591456,0
openai-community/gpt2,gpt2,128,whole,CPU_AND_NE,CPU_AND_NE,NE,10,16.472612900000083,0.24938084400129282,101.23510908578999,0.9556935569835693,9.878788806249995,0.09331986961700325,3.291723264194438,0.07955197744632439,0.01767069357543809,0.0001668173042927821,465.8625,21.630143495568614,0.1545678484844073,0.5923450035023361,0
openai-community/gpt2,gpt2,128,whole,ALL,ALL,ALL,10,18.124845800000244,0.8141486353995254,88.43248166119504,2.4599445268826288,11.315904181249964,0.31328879767362355,3.3472060608437184,0.12039108298045476,0.015435981643742522,0.00042938587550967096,926.9078125,3.039591990077929,0.5046145521889761,1.5246894140324243,0
